h,0,totalCurrent,gyro,motorSpeedLeft,motorSpeedRight,motorRoller,batteryVoltage,pdpTemp,accelX,accelY,accelZ,current1,current2,current3,current14,current15
d,638,1718321.0,1718323.0,1718324.0,1718324.0,1718324.0,1718324.0,1718325.0,1718325.0,1718325.0,1718325.0,1718326.0,1718326.0,1718326.0,1718326.0,1718327.0
d,639,1721422.0,1721424.0,1721425.0,1721425.0,1721425.0,1721426.0,1721426.0,1721426.0,1721426.0,1721427.0,1721427.0,1721427.0,1721427.0,1721427.0,1721427.0
d,640,1723663.0,1723664.0,1723664.0,1723665.0,1723665.0,1723665.0,1723665.0,1723666.0,1723666.0,1723666.0,1723666.0,1723667.0,1723667.0,1723667.0,1723667.0
d,641,1726406.0,1726408.0,1726409.0,1726409.0,1726409.0,1726410.0,1726410.0,1726410.0,1726411.0,1726411.0,1726411.0,1726411.0,1726412.0,1726412.0,1726412.0
d,642,1728957.0,1728959.0,1728960.0,1728961.0,1728961.0,1728961.0,1728962.0,1728962.0,1728962.0,1728962.0,1728963.0,1728963.0,1728963.0,1728963.0,1728964.0
d,643,1731884.0,1731884.0,1731884.0,1731884.0,1731884.0,1731884.0,1731884.0,1731884.0,1731884.0,1731884.0,1731884.0,1731884.0,1731884.0,1731884.0,1731884.0
d,644,1735036.0,1735036.0,1735036.0,1735036.0,1735036.0,1735036.0,1735036.0,1735036.0,1735036.0,1735036.0,1735036.0,1735036.0,1735036.0,1735036.0,1735036.0
d,645,1737505.0,1737506.0,1737506.0,1737506.0,1737506.0,1737507.0,1737507.0,1737507.0,1737507.0,1737507.0,1737507.0,1737508.0,1737508.0,1737508.0,1737508.0
d,646,1740391.0,1740394.0,1740395.0,1740395.0,1740396.0,1740396.0,1740396.0,1740396.0,1740397.0,1740397.0,1740397.0,1740397.0,1740398.0,1740398.0,1740398.0
d,647,1742959.0,1742961.0,1742961.0,1742962.0,1742962.0,1742962.0,1742963.0,1742963.0,1742963.0,1742963.0,1742964.0,1742964.0,1742964.0,1742964.0,1742964.0
